project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
node-config/node-config,cb88848fec24b1fcde846a15f1b1fa55dcdcd6c9,mergeAnalysisOutput/js/node-config/node-config/cb88848fec24b1fcde846a15f1b1fa55dcdcd6c9/parser.js,SUCCESS_WITHOUT_CONFLICTS,2433118,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,15878770,13.066324ms,,,,,,,,,13.264158ms,SUCCESS_WITHOUT_CONFLICTS,15667653,13.002795ms,,,,,,,,,13.192614ms,SUCCESS_WITHOUT_CONFLICTS,15817088,13.061551ms,,,,,,,,,13.250028ms
node-config/node-config,bdb2d3892848a5606756219dec5a761b9b9b6195,mergeAnalysisOutput/js/node-config/node-config/bdb2d3892848a5606756219dec5a761b9b9b6195/lib/config.js,SUCCESS_WITHOUT_CONFLICTS,3366619,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,27744157,24.662904ms,,,,,,,,,24.877476ms,SUCCESS_WITHOUT_CONFLICTS,28451831,25.205254ms,,,,,,,,,25.420159ms,SUCCESS_WITHOUT_CONFLICTS,28720973,25.495395ms,,,,,,,,,25.720438ms
node-config/node-config,8e174042fdba86c5132ccd7cde4d07dab2c6a704,mergeAnalysisOutput/js/node-config/node-config/8e174042fdba86c5132ccd7cde4d07dab2c6a704/async.js,SUCCESS_WITH_CONFLICTS,2173974,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,184192231,29.373699ms,75.75486ms,,0.0,0ns,75.229358ms,,0.0,0ns,180.760606ms,SUCCESS_WITH_CONFLICTS,124014988,29.010236ms,45.986028ms,34.813µs,0.0,0ns,46.536256ms,39.448µs,0.0,0ns,121.909493ms,SUCCESS_WITH_CONFLICTS,125131815,28.81496ms,45.872891ms,34.916µs,0.0,0ns,45.526913ms,39.282µs,0.0,0ns,120.571725ms
node-config/node-config,8e174042fdba86c5132ccd7cde4d07dab2c6a704,mergeAnalysisOutput/js/node-config/node-config/8e174042fdba86c5132ccd7cde4d07dab2c6a704/defer.js,SUCCESS_WITH_CONFLICTS,2074307,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,142901370,26.364663ms,55.870792ms,,0.0,0ns,55.643132ms,,0.0,0ns,138.27909ms,SUCCESS_WITH_CONFLICTS,85733565,26.965759ms,28.55639ms,9.68µs,0.0,0ns,28.136982ms,9.582µs,0.0,0ns,84.010704ms,SUCCESS_WITH_CONFLICTS,85634972,26.281812ms,27.984319ms,10.321µs,0.0,0ns,28.376679ms,9.837µs,0.0,0ns,82.998488ms
node-config/node-config,8e174042fdba86c5132ccd7cde4d07dab2c6a704,mergeAnalysisOutput/js/node-config/node-config/8e174042fdba86c5132ccd7cde4d07dab2c6a704/lib/config.js,SUCCESS_WITHOUT_CONFLICTS,2766557,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,18213796,15.210846ms,,,,,,,,,15.471907ms,SUCCESS_WITHOUT_CONFLICTS,17754835,14.901745ms,,,,,,,,,15.099179ms,SUCCESS_WITHOUT_CONFLICTS,17912193,14.998486ms,,,,,,,,,15.201098ms
node-config/node-config,8e174042fdba86c5132ccd7cde4d07dab2c6a704,mergeAnalysisOutput/js/node-config/node-config/8e174042fdba86c5132ccd7cde4d07dab2c6a704/lib/util.js,SUCCESS_WITH_CONFLICTS,2948404,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,727448600,61.035958ms,357.069569ms,,0.0,0ns,311.189677ms,,0.0,0ns,729.726915ms,SUCCESS_WITH_CONFLICTS,405131005,61.011499ms,78.551493ms,76.017µs,0.0,0ns,264.044471ms,184.89585ms,0.0,0ns,404.056874ms,SUCCESS_WITH_CONFLICTS,409121220,61.232864ms,76.440628ms,76.464µs,0.0,0ns,256.972853ms,180.460689ms,0.0,0ns,395.086376ms
node-config/node-config,4354ee262d553f00c79f60bd0d63cfd31eca6e77,mergeAnalysisOutput/js/node-config/node-config/4354ee262d553f00c79f60bd0d63cfd31eca6e77/lib/config.js,SUCCESS_WITHOUT_CONFLICTS,2660881,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,18448454,15.577964ms,,,,,,,,,15.787727ms,SUCCESS_WITHOUT_CONFLICTS,18383247,15.627776ms,,,,,,,,,15.828328ms,SUCCESS_WITHOUT_CONFLICTS,18431651,15.641151ms,,,,,,,,,15.842201ms
node-config/node-config,4354ee262d553f00c79f60bd0d63cfd31eca6e77,mergeAnalysisOutput/js/node-config/node-config/4354ee262d553f00c79f60bd0d63cfd31eca6e77/lib/util.js,SUCCESS_WITHOUT_CONFLICTS,3051892,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,26760479,23.895381ms,,,,,,,,,24.122464ms,SUCCESS_WITHOUT_CONFLICTS,26651467,23.891638ms,,,,,,,,,24.130219ms,SUCCESS_WITHOUT_CONFLICTS,26784304,23.999533ms,,,,,,,,,24.224955ms
node-config/node-config,8143fe5929b1ee2064a68c394eb2f82159048253,mergeAnalysisOutput/js/node-config/node-config/8143fe5929b1ee2064a68c394eb2f82159048253/lib/util.js,SUCCESS_WITHOUT_CONFLICTS,8241026,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,24425527,21.41174ms,,,,,,,,,21.628753ms,SUCCESS_WITHOUT_CONFLICTS,24316250,21.377032ms,,,,,,,,,21.578163ms,SUCCESS_WITHOUT_CONFLICTS,45741382,21.677839ms,,,,,,,,,21.891316ms
node-config/node-config,4dba4e7b472786bc15e33d7b5a9b2f296436555c,mergeAnalysisOutput/js/node-config/node-config/4dba4e7b472786bc15e33d7b5a9b2f296436555c/lib/config.js,SUCCESS_WITHOUT_CONFLICTS,2709757,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,17924767,15.126338ms,,,,,,,,,15.325949ms,SUCCESS_WITHOUT_CONFLICTS,17730239,14.884521ms,,,,,,,,,15.080072ms,SUCCESS_WITHOUT_CONFLICTS,17849528,15.121926ms,,,,,,,,,15.363603ms
mailcow/mailcow-dockerized,d430b595c104fb43b35b795a40e2e7413839c4b2,mergeAnalysisOutput/js/mailcow/mailcow-dockerized/d430b595c104fb43b35b795a40e2e7413839c4b2/data/web/js/site/mailbox.js,SUCCESS_WITHOUT_CONFLICTS,41241864,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1213792446,53.341409ms,,,0.0,0ns,1.156911674s,,,,1.211948322s,SUCCESS_WITHOUT_CONFLICTS,921249658,53.435343ms,,2.371361ms,0.0,0ns,871.217294ms,,,,926.427518ms,SUCCESS_WITHOUT_CONFLICTS,930684480,52.237507ms,,1.744789ms,0.0,0ns,850.489223ms,,,,904.779522ms
