project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
ggez/ggez,d5884f465b49e7add589134c1c9532a38e0d2356,mergeAnalysisOutput/rust/ggez/ggez/d5884f465b49e7add589134c1c9532a38e0d2356/src/timer.rs,SUCCESS_WITHOUT_CONFLICTS,5184495,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,60978140,22.82337ms,,,,,,,,,23.030901ms,SUCCESS_WITHOUT_CONFLICTS,25546302,22.67199ms,,,,,,,,,22.871707ms,SUCCESS_WITHOUT_CONFLICTS,26864475,25.968627ms,,,,,,,,,26.217806ms
ggez/ggez,b652eb779eab10da7cd7eb1bfc00e3d991aacf95,mergeAnalysisOutput/rust/ggez/ggez/b652eb779eab10da7cd7eb1bfc00e3d991aacf95/src/conf.rs,SUCCESS_WITHOUT_CONFLICTS,3179939,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,37471127,36.705189ms,,,,,,,,,36.930525ms,SUCCESS_WITHOUT_CONFLICTS,37943710,36.270504ms,,,,,,,,,36.508934ms,SUCCESS_WITHOUT_CONFLICTS,41148323,37.260507ms,,,,,,,,,37.480435ms
ggez/ggez,12982dedae6465cebec56fc49b5c2e0d4eb9fa47,mergeAnalysisOutput/rust/ggez/ggez/12982dedae6465cebec56fc49b5c2e0d4eb9fa47/src/graphics/context.rs,SUCCESS_WITHOUT_CONFLICTS,4692576,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,180646080,165.460719ms,,,,,,,,,165.671471ms,SUCCESS_WITHOUT_CONFLICTS,174206035,166.212775ms,,,,,,,,,166.431414ms,SUCCESS_WITHOUT_CONFLICTS,199346596,167.929114ms,,,,,,,,,168.142829ms
ggez/ggez,12982dedae6465cebec56fc49b5c2e0d4eb9fa47,mergeAnalysisOutput/rust/ggez/ggez/12982dedae6465cebec56fc49b5c2e0d4eb9fa47/src/graphics/image.rs,SUCCESS_WITHOUT_CONFLICTS,3584087,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,79302117,76.602551ms,,,,,,,,,76.812372ms,SUCCESS_WITHOUT_CONFLICTS,85759996,76.816461ms,,,,,,,,,77.025348ms,SUCCESS_WITHOUT_CONFLICTS,79519145,76.547363ms,,,,,,,,,76.754354ms
ggez/ggez,12982dedae6465cebec56fc49b5c2e0d4eb9fa47,mergeAnalysisOutput/rust/ggez/ggez/12982dedae6465cebec56fc49b5c2e0d4eb9fa47/src/graphics/shader.rs,SUCCESS_WITHOUT_CONFLICTS,2963827,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,20957644,17.386402ms,,,,,,,,,17.603277ms,SUCCESS_WITHOUT_CONFLICTS,26910200,16.988028ms,,,,,,,,,17.192911ms,SUCCESS_WITHOUT_CONFLICTS,19621856,16.996659ms,,,,,,,,,17.208844ms
gjtorikian/commonmarker,84b1f0072cb7ee3bfeedc5ab1151fbe049592784,mergeAnalysisOutput/rust/gjtorikian/commonmarker/84b1f0072cb7ee3bfeedc5ab1151fbe049592784/ext/commonmarker/src/options.rs,SUCCESS_WITHOUT_CONFLICTS,2267284,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,148797361,17.684483ms,,,,,,,,,55.004346ms,SUCCESS_WITHOUT_CONFLICTS,30613616,15.460541ms,,,,,,,,,15.708793ms,SUCCESS_WITHOUT_CONFLICTS,20367441,14.760717ms,,,,,,,,,14.959081ms
stacks-network/stacks-core,75e2bd609a04c3f8ab5ca0a6e22165b5647108d8,mergeAnalysisOutput/rust/stacks-network/stacks-core/75e2bd609a04c3f8ab5ca0a6e22165b5647108d8/stackslib/src/chainstate/tests/static_analysis_tests.rs,SUCCESS_WITH_CONFLICTS,2253204,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1439378048,557.063167ms,868.504425ms,,0.0,0ns,,,,,1.426509675s,SUCCESS_WITHOUT_CONFLICTS,638068695,570.25839ms,60.409633ms,27.099689ms,0.0,0ns,,,,,632.037316ms,SUCCESS_WITHOUT_CONFLICTS,631198198,562.65656ms,59.938478ms,26.809109ms,0.0,0ns,,,,,623.607144ms
diesel-rs/diesel,8a2251e430d91afcc289a8a1ab6b3a0627f7a185,mergeAnalysisOutput/rust/diesel-rs/diesel/8a2251e430d91afcc289a8a1ab6b3a0627f7a185/diesel/src/lib.rs,SUCCESS_WITHOUT_CONFLICTS,2459827,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,41891191,39.397588ms,,,,,,,,,39.621285ms,SUCCESS_WITHOUT_CONFLICTS,43817248,38.076481ms,,,,,,,,,38.301043ms,SUCCESS_WITHOUT_CONFLICTS,40618425,37.999585ms,,,,,,,,,38.207543ms
diesel-rs/diesel,8a2251e430d91afcc289a8a1ab6b3a0627f7a185,mergeAnalysisOutput/rust/diesel-rs/diesel/8a2251e430d91afcc289a8a1ab6b3a0627f7a185/diesel_cli/src/infer_schema_internals/inference.rs,SUCCESS_WITHOUT_CONFLICTS,2096715,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,147181956,135.475213ms,,,,,,,,,135.703353ms,SUCCESS_WITHOUT_CONFLICTS,138641474,136.33299ms,,,,,,,,,136.561918ms,SUCCESS_WITHOUT_CONFLICTS,136787283,135.233718ms,,,,,,,,,135.454189ms
diesel-rs/diesel,8a2251e430d91afcc289a8a1ab6b3a0627f7a185,mergeAnalysisOutput/rust/diesel-rs/diesel/8a2251e430d91afcc289a8a1ab6b3a0627f7a185/diesel_cli/tests/print_schema.rs,SUCCESS_WITHOUT_CONFLICTS,2168553,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,3615179154,716.539172ms,,,0.0,0ns,2.94645306s,,,,3.664160057s,SUCCESS_WITHOUT_CONFLICTS,811907893,704.442033ms,,36.154187ms,0.0,0ns,85.769301ms,,,,791.282472ms,SUCCESS_WITHOUT_CONFLICTS,786098835,696.999759ms,,35.686346ms,0.0,0ns,84.957374ms,,,,783.074436ms
